inst	nstr	length	t	CPLEX	GREEDY	LS	MH	HYBRID
1	100	300	0.75	50	62	52	63	49
2	100	300	0.75	51	61	52	60	48
3	100	300	0.75	52	60	52	59	51
4	100	300	0.75	51	58	51	59	50
5	100	300	0.75	49	65	53	62	55
6	100	300	0.75	50	64	46	55	44
7	100	300	0.75	51	62	51	62	50
8	100	300	0.75	51	61	48	56	49
9	100	300	0.75	50	67	50	60	47
10	100	300	0.75	52	61	54	59	54
1	200	300	0.75	81	52	63	49	45
2	200	300	0.75	82	52	60	48	43
3	200	300	0.75	85	52	59	51	46
4	200	300	0.75	76	51	59	50	45
5	200	300	0.75	81	53	62	55	47
6	200	300	0.75	77	46	55	44	45
7	200	300	0.75	79	51	62	50	45
8	200	300	0.75	78	48	56	49	44
9	200	300	0.75	81	50	60	47	43
10	200	300	0.75	83	54	59	54	45
